categorie,naam,beschrijving,prijs_eur,opties_keuze,opties_saus,supplementen_extra
Koude sauzen,Brazil,,1.1,,,
Koude sauzen,Cocktail,,1.1,,,
Koude sauzen,Curry,,1.1,,,
Koude sauzen,Joppie,,1.1,,,
Koude sauzen,Look,,1.1,,,
Koude sauzen,Mammouth,,1.1,,,
Koude sauzen,Mammouth hot,,1.1,,,
Koude sauzen,Mosterd,,1.1,,,
Koude sauzen,Peper,,1.1,,,
Koude sauzen,Pili pili,,1.1,,,
Koude sauzen,Samuraï,,1.1,,,
Koude sauzen,Tartaar,,1.1,,,
Koude sauzen,Truffelmayo,,1.1,,,
Koude sauzen,Zoete Mayo,,1.1,,,
Koude sauzen,Zoetzuur pikant,,1.1,,,
Koude sauzen,Spéciaalsaus,,2,,,
Koude sauzen,Saus dubbel,,2,,,
Warme sauzen,Stoofvlees,,5,,,
Warme sauzen,Stoofvleessaus,,3,,,
Hamburgers,Hamburger,,4,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,
Hamburgers,Cheeseburger,,4.7,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Baconburger,,5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Cheese-baconburger,,5.5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Chicken Crispy,,5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Fishburger,,5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Veggieburger,,5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Halalburger,,4.5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
