category,name,description,price_eur
Wraps,Wrap chicken,"kip,sla,wortel, komkommer, bicky-ui, cocktailsaus",6.00
Wraps,Wrap chicken caesar,"kip, ansjovis, sla, caesardressing, komkommer, bicky-ui, parmesanschilfers",6.50
Wraps,Wrap Italiaanse ham,"Italiaanse ham, mozarella, pesto, zongedroogde tomaat, rucola",6.50
Wraps,Wrap Tomaat Mozarella,"rucola, mozarella, tomaat, zongedroogde tomaat, pesto",5.50
Wraps,Wrap Salmon,"Gerookte zalm, kruidenkaas, rucola, tomaat, snipperui",7.00
Mitraillette,Hamburger,,8.50
Mitraillette,Fishburger,,9.00
Mitraillette,Veggieburger,,9.50
Mitraillette,Hallalburger,,8.50
Mitraillette,Chicken Crispy burger,,9.00
Bickyburger,Bicky fish,,9.50
Bickyburger,Bicky Chicken,,9.50
Bickyburger,Bicky Mexicano,,9.00
Bickyburger,Mexicano,,8.50
Bickyburger,Curryworst,,8.50
Bickyburger,Saté,,9.00
Bickyburger,Kipsaté,,9.00
Bickyburger,Sitostick,,9.00
Bickyburger,Grizzly,,9.50
Bickyburger,Vleeskroket (2 stuks),,10.50
Bickyburger,Kaaskroket,,10.50
Bickyburger,Hamburger Classic,,10.50
Bickyburger,Chicken Crispy Classic,,11.00
Bickyburger,Mexicano Classic,,10.50
Bickyburger,Cheeseburger,,9.00
Bickyburger,Baconburger,,9.50
Bickyburger,Cheesebaconburger,,10.00
Bickyburger,Boulet,,8.50
Drank (fles),Water plat,,2.50
Drank (fles),Water bruis,,2.50
Drank (fles),Cola,,3.00
Drank (fles),Cola zero,,3.00
Drank (fles),Fanta,,3.00
Drank (fles),Ice Tea,,3.00
Drank (fles),Ice Tea Green,,3.00
Drank (fles),Sprite,,3.00
Drank (blik),Cola,,2.50
Drank (blik),Cola zero,,2.50
Drank (blik),Fanta,,2.50
Drank (blik),Ice Tea,,2.50
Drank (blik),Ice Tea zero,,2.50
Drank (blik),Ice Tea Green,,2.50
Drank (blik),Ice Tea Peach,,2.50
Drank (blik),Sprite,,2.50
Drank (blik),Jupiler,,2.50
Drank (blik),Redbull,,3.00
Drank (blik),Nalu,,3.00
Warme drank,Koffie,,2.50
